,GBC_PC1_ztstat,GBC_PC2_ztstat,GBC_PC3_ztstat,GBC_PC4_ztstat,GBC_PC5_ztstat
61E3.4,-0.356958528,0.061979803,-0.058791897,-0.009148189,-0.102656672
A1BG,0.199874328,0.049164479,-0.105877758,0.064220598,-0.122651656
A1CF,-0.323276756,0.029258108,0.004088892,-0.025169023,-0.00674903
A26C1B,-0.187670973,0.022634567,0.098599073,0.053497801,0.221393062
A2BP1,-0.323202026,0.094322542,0.046602442,-0.133287835,-0.06809302
A2LD1,0.140110623,-0.077610433,-0.04671554,-0.018173959,-0.091574528
A2M,0.039143211,0.129863778,0.08470449,0.123276397,0.258975712
A2ML1,-0.053443985,-0.007654117,-0.084637774,0.054873714,-0.022775656
A3GALT2P,0.016904946,0.139629222,-0.065723985,-0.037867907,0.107458003
A4GALT,0.263191092,-0.121551433,0.32891161,-0.171192451,0.174430344
A4GNT,0.357482869,-0.079977795,0.124227723,-0.050376977,0.143632566
AAAS,-0.031076299,0.010513761,0.147614801,0.024210553,0.196996011
AACS,0.369976209,-0.195984445,0.151398434,-0.011173301,-0.003653621
AADACL1,-0.239916731,0.028898705,0.011640965,-0.059266001,-0.003787874
AADACL3,0.079667142,-0.038054185,-0.04544838,0.06173064,0.026493496
AADACL4,-0.153078018,-0.048591884,0.037490624,0.031550357,0.1118373
AADAT,0.013785443,0.09082058,-0.072858909,0.079142082,0.065328903
AAED1,0.312168425,-0.023005516,0.044529022,0.055102505,0.145917705
AAGAB,-0.134756378,0.086435699,-0.116701062,0.079105219,0.03666997
AAK1,-0.260722756,0.090188644,-0.020361053,0.008475346,0.056104994
AAMP,0.244892048,0.017712561,0.017478177,0.091283753,0.134103667
AANAT,0.024527953,-0.040783372,-0.059167954,0.091364728,-0.026184762
AARD,-0.138703953,0.001509928,0.173242794,-0.010255757,0.181710034
AARS,0.033225609,0.087025561,0.109983476,0.052414301,0.334243824
AARS2,-0.161148371,0.034131852,-0.185946308,0.140366649,-0.117216595
AARSD1,0.210792299,0.058383369,0.039132719,0.135042134,0.160725702
AASDH,-0.056127026,0.067626522,0.007585939,-0.040058422,0.057296189
AASDHPPT,0.101313207,-0.000606899,0.190114742,-0.046750285,0.035295795
AASS,0.180367605,0.049951877,0.012804056,0.112669093,0.162952658
AATF,0.164430693,0.179817103,-0.006882509,0.19442302,0.428166528
AATK,-0.031456761,0.148460788,0.042697116,0.043644507,0.2050944
ABAT,-0.027514738,-0.09380757,0.065138005,0.131796504,0.162899561
ABCA1,0.188360701,-0.053841503,-0.11245434,0.093040826,-0.095588292
ABCA10,-0.017947932,-0.0800874,0.212600027,-0.204027001,-0.063726635
ABCA11P,0.003858688,0.06011003,-0.021700989,0.018891089,-0.033767547
ABCA12,-0.39324992,0.496651918,-0.251605614,0.252833787,0.255168121
ABCA13,-0.227294037,0.110588891,-0.246093299,-0.056101335,-0.459319045
ABCA17P,0.230087722,0.01027963,-0.122318829,0.057188915,-0.167855229
ABCA2,-0.041489782,0.228941624,-0.148951961,0.129154959,0.187128896
ABCA3,0.309220023,-4.62E-05,0.021237614,0.161019747,0.152522286
ABCA4,-0.079244053,0.054114711,0.102579133,0.103022291,0.240795111
ABCA5,-0.298649426,-0.000775443,-0.011154823,-0.016538268,-0.117151811
ABCA6,-0.24125713,0.123072762,0.021585706,-0.004861104,0.127728365
ABCA7,0.00561964,-0.020654812,0.069641076,-0.040067761,0.093642029
ABCA8,-0.09700183,0.222259959,-0.104092658,0.043867167,0.211545998
ABCA9,-0.233570276,0.011042439,0.094597536,-0.09581815,0.048660721
ABCB1,-0.002449442,0.024852299,0.112022269,0.091316469,0.188632992
ABCB10,-0.222936665,0.074970598,-0.065343149,0.016885743,0.053677571
ABCB11,0.204680947,0.139033343,-0.116799165,0.260610409,0.322041488
ABCB4,0.189248106,-0.281237315,0.310193939,-0.112643028,0.1279453
ABCB5,0.242046005,0.023144314,0.224560218,-0.072376634,0.138489787
ABCB6,0.379985338,-0.019146102,0.016456277,0.061696699,0.068071325
ABCB7,-0.229865227,0.094124339,0.007850877,0.019723108,0.16612685
ABCB8,0.280614382,-0.052558521,0.091340682,-0.098214756,0.02654457
ABCB9,0.183919898,0.045264448,0.145190488,0.089351793,0.225253884
ABCC1,-0.107299745,0.080008893,-0.065822465,0.017148004,-0.039467175
ABCC10,0.192630896,-0.079313221,0.114680863,-0.021369944,0.026079772
ABCC11,0.348291552,-0.41815993,0.273514187,-0.089460488,0.128541208
ABCC12,0.411734568,-0.15568287,0.27735615,-0.159886074,0.046028929
ABCC13,-0.379886881,0.40794097,-0.257808582,0.058309604,-0.094770936
ABCC2,0.420286884,-0.286894342,0.114368598,-0.212223099,-0.145508956
ABCC3,-0.088107601,0.109243688,-0.298688379,0.324059655,-0.098826419
ABCC4,0.03417956,-0.060800236,0.126061892,-0.066362174,0.116927809
ABCC5,-0.22621349,-0.023165924,0.006191232,-0.164747112,-0.231673389
ABCC6,0.155207546,0.025446837,-0.030087514,0.102141322,0.125555853
ABCC8,-0.265361276,0.088318119,0.05372888,0.010822381,0.106071657
ABCC9,0.238939697,-0.004160933,0.01540111,0.136058011,0.16392233
ABCD1,-0.020884132,0.238465266,-0.246063582,0.224909414,0.078356893
ABCD2,-0.183802188,0.100747748,0.007127042,-0.046936959,0.179314768
ABCD3,-0.131304603,0.229074679,-0.256533808,0.155986427,0.109741482
ABCD4,0.067371434,0.005689598,0.071254486,0.023943014,-0.021810847
ABCE1,0.082569995,0.057407,-0.024743356,0.081763842,0.078459166
ABCF1,0.181650038,0.099722737,-0.022407248,0.126030434,0.249097164
ABCF2,0.097427161,0.03569766,0.180286444,0.02371958,0.281156246
ABCF3,0.252779211,0.030333614,0.078981101,0.049115136,0.229781171
ABCG1,-0.11457266,0.049429924,-0.134554413,-0.066983124,-0.139847255
ABCG2,-0.079254252,0.173728242,0.072831726,0.090503348,0.285674549
ABCG4,-0.040255668,0.096882751,0.007049313,0.067027296,0.189581296
ABCG5,0.28002073,0.020190352,0.095483215,0.180384135,0.272135283
ABCG8,0.019083239,0.000318059,-0.022666312,-0.053849596,-0.100784874
ABHD1,0.340875091,-0.048150243,0.010189336,0.070399967,-0.016264029
